Time,Step,Temp
06:53:11,7,16.822432
06:53:16,7,16.822432
06:53:21,2,16.822432
06:53:26,2,16.822432
06:53:31,6,16.881198
06:53:37,6,16.881198
06:53:42,4,17.028090
06:53:47,4,17.028090
06:53:52,6,16.939959
06:53:57,6,16.939959
06:54:02,5,16.793046
06:54:07,3,16.793046
06:54:12,3,16.793046
06:54:17,2,16.910579
06:54:23,2,16.910579
06:54:28,4,16.998714
06:54:33,4,16.998714
06:54:38,2,16.969337
06:54:43,2,16.969337
06:54:48,5,16.881198
06:54:53,5,16.881198
06:54:58,0,16.910579
06:55:03,0,16.910579
06:55:08,4,16.998714
06:55:13,4,16.998714
06:55:18,5,16.763659
06:55:23,5,16.763659
06:55:28,5,17.145578
06:55:33,5,17.145578
06:55:38,6,17.292412
06:55:43,6,17.292412
06:55:49,2,16.881198
06:55:54,2,16.881198
06:55:59,5,16.969337
06:56:04,5,16.969337
06:56:09,4,16.704880
06:56:14,4,16.704880
06:56:19,6,16.793046
06:56:24,6,16.793046
06:56:29,8,16.939959
06:56:34,8,16.939959
06:56:39,11,16.822432
06:56:44,11,16.822432
06:56:49,9,16.910579
06:56:55,9,16.910579
06:57:00,10,17.204315
06:57:05,10,17.204315
06:57:10,9,16.793046
06:57:15,9,16.793046
06:57:20,13,17.116208
06:57:25,13,17.116208
06:57:30,10,17.174947
06:57:35,10,17.174947
06:57:40,11,17.057464
06:57:45,11,17.057464
06:57:50,10,16.851816
06:57:55,10,16.851816
06:58:01,10,16.763659
06:58:06,10,16.763659
06:58:11,7,16.998714
06:58:16,7,16.998714
06:58:21,4,16.822432
06:58:26,4,16.822432
06:58:31,8,16.910579
06:58:36,8,16.910579
06:58:41,4,17.028090
06:58:46,4,17.028090
06:58:51,6,16.998714
06:58:56,6,16.998714
06:59:01,15,16.881198
06:59:06,15,16.881198
06:59:11,7,17.057464
06:59:16,7,17.057464
06:59:21,9,16.910579
06:59:27,9,16.910579
06:59:32,10,16.881198
06:59:37,10,16.881198
06:59:42,7,16.910579
06:59:47,7,16.910579
06:59:52,2,16.998714
06:59:57,2,16.998714
07:00:02,9,16.939959
07:00:07,4,17.028090
07:00:12,4,17.028090
07:00:17,6,16.910579
07:00:22,6,16.910579
07:00:27,6,16.851816
07:00:33,6,16.851816
07:00:38,6,16.910579
07:00:43,6,16.910579
07:00:48,10,17.057464
07:00:53,10,17.057464
07:00:58,11,16.910579
07:01:03,11,16.910579
07:01:08,10,16.939959
07:01:13,10,16.939959
07:01:18,11,16.910579
07:01:23,11,16.910579
07:01:28,4,16.969337
07:01:34,4,16.969337
07:01:39,17,16.851816
07:01:44,17,16.851816
07:01:49,6,16.969337
07:01:54,6,16.969337
07:01:59,10,16.910579
07:02:04,10,16.910579
07:02:09,6,16.910579
07:02:14,6,16.910579
07:02:19,6,17.086837
07:02:24,6,17.086837
07:02:30,12,16.851816
07:02:35,12,16.851816
07:02:40,8,16.939959
07:02:45,8,16.939959
07:02:50,7,16.969337
07:02:55,7,16.969337
07:03:00,7,16.763659
07:03:05,7,16.763659
07:03:10,9,16.998714
07:03:15,9,16.998714
07:03:20,6,16.910579
07:03:25,6,16.910579
07:03:30,10,16.939959
07:03:35,10,16.939959
07:03:40,10,17.204315
07:03:46,10,17.204315
07:03:51,9,17.028090
07:03:56,9,17.028090
07:04:01,12,16.969337
07:04:06,12,16.969337
07:04:11,5,17.233682
07:04:16,5,17.233682
07:04:21,13,17.028090
07:04:26,13,17.028090
07:04:31,8,16.939959
07:04:36,8,16.939959
07:04:41,12,18.349022
07:04:46,12,18.349022
07:04:52,10,24.162090
07:04:57,10,24.162090
07:05:02,4,25.450789
07:05:07,4,25.450789
07:05:12,6,24.430940
07:05:17,8,23.804281
07:05:22,8,23.804281
07:05:27,5,23.120420
07:05:32,5,23.120420
07:05:37,7,22.675665
07:05:43,7,22.675665
07:05:48,13,22.261348
07:05:53,13,22.261348
07:05:58,13,21.700141
07:06:03,13,21.700141
07:06:08,14,21.464176
07:06:13,14,21.464176
07:06:18,11,21.081103
07:06:23,11,21.081103
07:06:28,5,20.669018
07:06:34,5,20.669018
07:06:39,5,20.404322
07:06:44,5,20.404322
07:06:49,6,22.586821
07:06:54,6,22.586821
07:06:59,14,24.640352
07:07:04,14,24.640352
07:07:09,13,25.993666
07:07:14,13,25.993666
07:07:19,9,25.240245
07:07:24,9,25.240245
07:07:29,10,24.401046
07:07:34,10,24.401046
07:07:40,8,23.625646
07:07:45,8,23.625646
07:07:50,13,22.942407
07:07:55,13,22.942407
07:08:00,8,22.498012
07:08:05,8,22.498012
07:08:10,12,21.936297
07:08:15,12,21.936297
07:08:20,7,21.670635
07:08:25,7,21.670635
07:08:30,13,21.346260
07:08:35,13,21.346260
07:08:40,8,20.992762
07:08:45,8,20.992762
07:08:51,11,20.610183
07:08:56,11,20.610183
07:09:01,12,20.551356
07:09:06,12,20.551356
07:09:11,11,19.992854
07:09:16,11,19.992854
07:09:21,8,19.963475
07:09:26,8,19.963475
07:09:31,8,19.728490
07:09:36,8,19.728490
07:09:41,8,19.493581
07:09:46,8,19.493581
07:09:52,8,19.405506
07:09:57,8,19.405506
07:10:02,10,19.288086
07:10:07,10,19.288086
07:10:12,13,19.053281
07:10:17,13,19.053281
07:10:22,9,19.023933
07:10:27,9,19.023933
07:10:32,9,18.847856
07:10:37,9,18.759822
07:10:42,9,18.759822
07:10:47,8,18.759822
07:10:52,8,18.759822
07:10:58,8,18.759822
07:11:03,8,18.759822
07:11:08,2,18.466392
07:11:13,2,18.466392
