Time,Step,Temp
06:41:58,294,16.704880
06:42:03,294,16.704880
06:42:09,10,16.587301
06:42:14,10,16.587301
06:42:19,5,16.910579
06:42:24,5,16.910579
06:42:29,5,16.646094
06:42:34,5,16.646094
06:42:39,8,16.763659
06:42:44,8,16.763659
06:42:49,6,16.675487
06:42:54,6,16.675487
06:42:59,6,16.910579
06:43:04,6,16.910579
06:43:09,4,16.734270
06:43:15,4,16.734270
06:43:20,2,16.646094
06:43:25,2,16.646094
06:43:30,8,16.763659
06:43:35,8,16.763659
06:43:40,5,16.646094
06:43:45,5,16.646094
06:43:50,3,16.822432
06:43:55,3,16.822432
06:44:00,10,16.675487
06:44:05,10,16.675487
06:44:10,3,17.233682
06:44:15,3,17.233682
06:44:20,2,17.086837
06:44:26,2,17.086837
06:44:31,4,17.057464
06:44:36,4,17.057464
06:44:41,10,17.116208
06:44:46,10,17.116208
06:44:51,9,17.116208
06:44:56,9,17.116208
06:45:01,9,17.057464
06:45:06,9,17.057464
06:45:12,9,17.116208
06:45:17,9,17.116208
06:45:22,3,16.910579
06:45:27,3,16.910579
06:45:32,6,17.028090
06:45:37,6,17.028090
06:45:42,6,17.057464
06:45:47,5,16.969337
06:45:52,5,16.969337
06:45:58,5,17.086837
06:46:03,5,17.086837
06:46:08,2,16.910579
06:46:13,2,16.910579
06:46:18,2,16.822432
06:46:23,2,16.822432
06:46:28,4,16.851816
06:46:33,4,16.851816
06:46:38,2,16.851816
06:46:43,2,16.851816
06:46:48,2,16.939959
06:46:54,2,16.939959
06:46:59,7,16.910579
06:47:04,7,16.910579
06:47:09,4,16.881198
06:47:14,4,16.881198
06:47:19,4,16.969337
06:47:24,4,16.969337
06:47:29,9,16.763659
06:47:34,9,16.763659
06:47:39,4,16.969337
06:47:45,4,16.969337
06:47:50,2,17.057464
06:47:55,2,17.057464
06:48:00,6,16.881198
06:48:05,6,16.881198
06:48:10,6,16.616698
06:48:15,6,16.616698
06:48:20,16,16.910579
06:48:25,16,16.910579
06:48:30,10,16.939959
06:48:35,10,16.939959
06:48:41,2,16.822432
06:48:46,2,16.822432
06:48:51,6,16.675487
06:48:56,6,16.675487
06:49:01,6,16.822432
06:49:06,6,16.822432
06:49:11,9,16.822432
06:49:16,9,16.822432
06:49:21,7,16.763659
06:49:26,7,16.763659
06:49:31,6,16.822432
06:49:37,6,16.822432
06:49:42,5,16.910579
06:49:47,5,16.910579
06:49:52,8,16.763659
06:49:57,8,16.763659
06:50:02,5,16.587301
06:50:07,2,16.969337
06:50:12,2,16.969337
06:50:18,5,16.881198
06:50:23,5,16.881198
06:50:28,4,16.499099
06:50:33,4,16.499099
06:50:38,2,16.763659
06:50:43,2,16.763659
06:50:48,2,16.881198
06:50:53,2,16.881198
06:50:58,6,16.881198
06:51:03,6,16.881198
06:51:09,3,16.763659
06:51:14,3,16.763659
06:51:19,1,16.881198
06:51:24,1,16.881198
06:51:29,3,16.763659
06:51:34,3,16.763659
06:51:39,5,16.910579
06:51:44,5,16.910579
06:51:49,6,16.793046
06:51:54,6,16.793046
06:52:00,7,17.086837
06:52:05,7,17.086837
06:52:10,3,17.057464
06:52:15,3,17.057464
06:52:20,4,16.793046
06:52:25,4,16.793046
06:52:30,3,16.910579
06:52:35,3,16.910579
06:52:40,8,16.763659
06:52:45,8,16.763659
06:52:51,3,16.793046
06:52:56,3,16.793046
06:53:01,11,16.910579
06:53:06,11,16.910579
